Serie;;X;Y;Center X;Center Y;;;;
7;1;95.479;134.440;109.428;134.440;;;;
7;2;94.076;127.585;109.428;134.440;;;;
7;3;95.679;121.172;109.428;134.440;;;;
7;4;103.696;116.683;109.428;134.440;;;;
7;5;97.924;114.438;109.428;134.440;;;;
7;6;85.738;119.889;109.428;134.440;;;;
7;7;90.869;125.020;109.428;134.440;;;;
7;8;86.380;129.509;109.428;134.440;;;;
7;9;84.135;132.075;109.428;134.440;;;;
7;10;78.684;125.661;109.428;134.440;;;;
7;11;82.211;122.775;109.428;134.440;;;;
7;12;74.194;119.569;109.428;134.440;;;;
7;13;74.515;115.721;109.428;134.440;;;;
7;14;68.422;117.965;109.428;134.440;;;;
7;15;68.422;109.949;109.428;134.440;;;;
7;16;69.064;104.177;109.428;134.440;;;;
7;17;74.515;99.046;109.428;134.440;;;;
7;18;72.591;92.312;109.428;134.440;;;;
7;19;84.776;99.687;109.428;134.440;;;;
7;20;83.494;105.459;109.428;134.440;;;;
7;21;83.814;112.193;109.428;134.440;;;;
7;22;88.945;106.421;109.428;134.440;;;;
7;23;94.076;103.215;109.428;134.440;;;;
7;24;102.092;100.970;109.428;134.440;;;;
7;25;101.772;105.780;109.428;134.440;;;;
7;26;100.489;110.911;109.428;134.440;;;;
7;27;94.076;98.725;109.428;134.440;;;;
7;28;106.582;92.312;109.428;134.440;;;;
7;29;112.674;91.029;109.428;134.440;;;;
7;30;122.936;91.350;109.428;134.440;;;;
7;31;113.957;98.405;109.428;134.440;;;;
7;32;105.940;98.084;109.428;134.440;;;;
7;33;108.506;105.459;109.428;134.440;;;;
7;34;115.881;111.552;109.428;134.440;;;;
7;35;110.750;116.041;109.428;134.440;;;;
7;36;123.577;118.927;109.428;134.440;;;;
7;37;121.332;129.509;109.428;134.440;;;;
7;38;130.311;129.830;109.428;134.440;;;;
7;39;136.724;128.868;109.428;134.440;;;;
7;40;133.518;123.417;109.428;134.440;;;;
7;41;142.176;122.455;109.428;134.440;;;;
7;42;137.686;116.362;109.428;134.440;;;;
7;43;146.344;117.645;109.428;134.440;;;;
7;44;145.382;113.155;109.428;134.440;;;;
7;45;151.796;105.459;109.428;134.440;;;;
7;46;153.078;97.122;109.428;134.440;;;;
7;47;148.589;99.046;109.428;134.440;;;;
7;48;143.138;92.312;109.428;134.440;;;;
7;49;140.252;98.084;109.428;134.440;;;;
7;50;140.252;101.932;109.428;134.440;;;;
7;51;127.104;103.215;109.428;134.440;;;;
7;52;136.404;89.426;109.428;134.440;;;;
7;53;138.969;84.937;109.428;134.440;;;;
7;54;136.404;79.806;109.428;134.440;;;;
7;55;130.311;84.616;109.428;134.440;;;;
7;56;122.615;88.143;109.428;134.440;;;;
7;57;116.843;82.371;109.428;134.440;;;;
7;58;107.864;80.447;109.428;134.440;;;;
7;59;93.434;88.464;109.428;134.440;;;;
7;60;92.472;144.581;109.428;134.440;;;;
7;61;97.282;142.336;109.428;134.440;;;;
7;62;91.190;138.809;109.428;134.440;;;;
7;63;87.662;146.825;109.428;134.440;;;;
7;64;89.907;152.918;109.428;134.440;;;;
7;65;97.603;156.766;109.428;134.440;;;;
7;66;97.603;161.897;109.428;134.440;;;;
7;67;107.864;165.745;109.428;134.440;;;;
7;68;122.936;169.593;109.428;134.440;;;;
7;69;124.539;172.158;109.428;134.440;;;;
7;70;129.028;163.821;109.428;134.440;;;;
7;71;133.838;161.255;109.428;134.440;;;;
